id,name,urban_area,state_code,state,postcode,type,latitude,longitude,elevation,population,median_income,area_sq_km,local_government_area,region,time_zone
176,Altona,,SA,South Australia,5351,Rural locality,-34.59717,138.91362,233,131,40976,8.879,Barossa (District Council),Barossa - Yorke - Mid North,Australia/Adelaide
177,Altona,Melbourne,VIC,Victoria,3018,Suburb,-37.86928,144.83029,8,10762,38064,16.737,Hobsons Bay (City),Melbourne - West,Australia/Melbourne
178,Altona Meadows,Melbourne,VIC,Victoria,3028,Suburb,-37.87163,144.77808,11,19160,30784,10.54,Hobsons Bay (City),Melbourne - West,Australia/Melbourne
179,Altona North,Melbourne,VIC,Victoria,3025,Suburb,-37.83471,144.84768,17,12152,26156,13.944,Hobsons Bay (City),Melbourne - West,Australia/Melbourne
180,Alton Downs,,QLD,Queensland,4702,Rural locality,-23.30718,150.38804,29,1278,38012,177.472,Rockhampton (Regional Council),Central Queensland,Australia/Brisbane
181,Alumy Creek,,NSW,New South Wales,2460,Rural locality,-29.64092,152.95145,5,91,26988,9.053,Clarence Valley (Area),Coffs Harbour - Grafton,Australia/Sydney
182,Alva,,QLD,Queensland,4807,Urban locality,-19.4575,147.48173,7,279,27612,112.822,Burdekin (Shire),Townsville,Australia/Brisbane
183,Alvie,,VIC,Victoria,3249,Rural locality,-38.24432,143.4819,120,132,31980,25.306,Colac-Otway (Shire),Warrnambool and South West,Australia/Melbourne
184,Alyangula,,NT,Northern Territory,885,Urban locality,-13.85287,136.42249,27,873,89908,2.743,Unincorporated,Northern Territory - Outback,Australia/Darwin
185,Amamoor,,QLD,Queensland,4570,Rural locality,-26.34524,152.67499,74,636,24596,34.356,Gympie (Regional Council),Wide Bay,Australia/Brisbane
186,Amamoor Creek,,QLD,Queensland,4570,Rural locality,-26.35952,152.56331,128,56,23400,168.814,Gympie (Regional Council),Wide Bay,Australia/Brisbane
187,Amaroo,Canberra,ACT,Australian Capital Territory,2914,Suburb,-35.17033,149.12588,631,5710,56680,2.587,Unincorporated,Australian Capital Territory,Australia/Sydney
188,Amaroo,,NSW,New South Wales,2866,Rural locality,-33.16432,148.92084,626,46,43056,16.78,Cabonne (Area),Central West,Australia/Sydney
189,Amaroo,,QLD,Queensland,4829,Rural locality,-23.39387,139.67312,119,22,39624,9358.704,Boulia (Shire),Queensland - Outback,Australia/Brisbane
190,Amata,,SA,South Australia,872,Urban locality,-26.15662,131.14472,694,455,13572,11.248,Anangu Pitjantjatjara (Aboriginal Council),South Australia - Outback,Australia/Adelaide
191,Ambania,,WA,Western Australia,6632,Rural locality,-28.69532,115.1188,235,12,26000,327.855,Greater Geraldton (City),Western Australia - Outback (South),Australia/Perth
192,Ambarvale,Sydney,NSW,New South Wales,2560,Suburb,-34.08047,150.80364,86,7374,28912,2.882,Campbelltown (City),Sydney - Outer South West,Australia/Sydney
193,Amber,,QLD,Queensland,4871,Rural locality,-17.74731,144.31566,408,0,0,1032.898,Mareeba (Shire),Queensland - Outback,Australia/Brisbane
194,Ambergate,,WA,Western Australia,6280,Rural locality,-33.71163,115.32628,21,467,35516,38.395,Busselton (City),Bunbury,Australia/Perth
195,Amberley,Brisbane,QLD,Queensland,4306,Suburb,-27.64043,152.7024,42,253,52936,26.111,Ipswich (City),Ipswich,Australia/Brisbane
196,Ambleside,Devonport,TAS,Tasmania,7310,Suburb,-41.20612,146.37295,15,663,30940,1.092,Devonport (City),West and North West,Australia/Hobart
197,Ambrose,,QLD,Queensland,4695,Rural locality,-23.78568,150.9268,36,218,24232,63.263,Gladstone (Regional Council),Central Queensland,Australia/Brisbane
198,Amby,,QLD,Queensland,4462,Rural locality,-26.54921,148.1869,354,86,23192,198.98,Maranoa (Regional Council),Darling Downs - Maranoa,Australia/Brisbane
199,Amelup,,WA,Western Australia,6338,Rural locality,-34.23847,118.22088,185,64,79612,402.441,Gnowangerup (Shire),Western Australia - Wheat Belt,Australia/Perth
200,American Beach,,SA,South Australia,5222,Rural locality,-35.77694,137.8765,28,6,29900,0.632,Kangaroo Island (District Council),South Australia - South East,Australia/Adelaide
201,American River,,SA,South Australia,5221,Urban locality,-35.77305,137.77996,15,238,21892,1.82,Kangaroo Island (District Council),South Australia - South East,Australia/Adelaide
202,Amherst,,VIC,Victoria,3371,Rural locality,-37.14647,143.67017,254,65,19344,34,Central Goldfields (Shire),Ballarat,Australia/Melbourne
203,Amiens,,QLD,Queensland,4380,Rural locality,-28.58362,151.80109,871,293,24180,51.903,Southern Downs (Regional Council),Darling Downs - Maranoa,Australia/Brisbane
204,Amity,,QLD,Queensland,4183,Urban locality,-27.39789,153.43908,7,387,26780,5.063,Redland (City),Brisbane - East,Australia/Brisbane
205,Amoonguna,,NT,Northern Territory,873,Urban locality,-23.76847,133.93067,546,239,9360,5.588,MacDonnell (Regional Council),Northern Territory - Outback,Australia/Darwin
206,Amor,,VIC,Victoria,3825,Rural locality,-37.94124,146.3998,521,0,0,6.464,Baw Baw (Shire),Latrobe - Gippsland,Australia/Melbourne
207,Amosfield,,NSW,New South Wales,4380,Rural locality,-28.62402,152.06643,870,31,17316,58.004,Tenterfield (Area),New England and North West,Australia/Sydney
208,Amphitheatre,,VIC,Victoria,3468,Rural locality,-37.18234,143.39992,280,248,22620,152.469,Pyrenees (Shire),Ballarat,Australia/Melbourne
209,Ampilatwatja,,NT,Northern Territory,872,Urban locality,-21.65288,135.22453,399,418,12220,28.277,Barkly (Regional Council),Northern Territory - Outback,Australia/Darwin
210,Amyton,,SA,South Australia,5431,Rural locality,-32.60343,138.32739,316,5,46800,75.9,Mount Remarkable (District Council),Barossa - Yorke - Mid North,Australia/Adelaide
211,Anabranch North,,NSW,New South Wales,2648,Rural locality,-33.29636,141.80229,42,9,50024,1661.394,Wentworth (Area),Murray,Australia/Sydney
212,Anabranch South,,NSW,New South Wales,2648,Rural locality,-33.54487,141.73014,56,34,33124,2279.463,Wentworth (Area),Murray,Australia/Sydney
213,Anakie,,VIC,Victoria,3213,Rural locality,-37.93803,144.2847,136,690,35308,181.123,Greater Geelong (City),Geelong,Australia/Melbourne
214,Anama,,SA,South Australia,5464,Rural locality,-33.68676,138.56545,373,14,44148,24.224,Clare and Gilbert Valleys (District Council),Barossa - Yorke - Mid North,Australia/Adelaide
215,Anambah,,NSW,New South Wales,2320,Rural locality,-32.67607,151.49513,13,30,29900,11.592,Maitland (City),Hunter Valley exc Newcastle,Australia/Sydney
216,Anangu Pitjantjatjara Yankunytjatjara,,SA,South Australia,872,Rural locality,-27.07839,131.20589,498,226,23868,102237.144,Anangu Pitjantjatjara (Aboriginal Council),South Australia - Outback,Australia/Adelaide
217,Anatye,,NT,Northern Territory,872,Rural locality,-23.37944,136.49541,256,111,20176,45033.168,Central Desert (Regional Council),Northern Territory - Outback,Australia/Darwin
218,Ancona,,VIC,Victoria,3715,Rural locality,-36.97227,145.79054,324,84,29120,68.446,Mansfield (Shire),Hume,Australia/Melbourne
219,Andamooka,,SA,South Australia,5722,Urban locality,-30.4536,137.16498,109,316,24700,23.817,Unincorporated,South Australia - Outback,Australia/Adelaide
220,Andamooka Station,,SA,South Australia,5719,Rural locality,-30.77681,136.61509,103,4,50024,8794.54,Unincorporated,South Australia - Outback,Australia/Adelaide
221,Andergrove,Mackay,QLD,Queensland,4740,Suburb,-21.09694,149.18533,8,9419,36036,8.48,Mackay (Regional Council),Mackay - Isaac - Whitsunday,Australia/Brisbane
222,Anderleigh,,QLD,Queensland,4570,Rural locality,-25.99842,152.67358,109,90,27560,48.177,Gympie (Regional Council),Wide Bay,Australia/Brisbane
223,Anderson,,VIC,Victoria,3995,Rural locality,-38.52174,145.4493,63,28,23400,5.831,Bass Coast (Shire),Latrobe - Gippsland,Australia/Melbourne
224,Ando,,NSW,New South Wales,2631,Rural locality,-36.73993,149.26121,884,72,34424,112.163,Snowy Monaro Regional (Area),Capital Region,Australia/Sydney
225,Andover,,TAS,Tasmania,7120,Rural locality,-42.33,147.46064,407,38,29224,73.446,Southern Midlands (Municipality),South East,Australia/Hobart
226,Andrews,,SA,South Australia,5454,Rural locality,-33.599,138.63124,320,37,38428,77.255,Northern Areas (District Council),Barossa - Yorke - Mid North,Australia/Adelaide
227,Andrews Farm,Adelaide,SA,South Australia,5114,Suburb,-34.67146,138.66678,33,8043,33176,3.989,Playford (City),Adelaide - North,Australia/Adelaide
228,Andromache,,QLD,Queensland,4800,Rural locality,-20.58452,148.42,66,51,19916,423.065,Whitsunday (Regional Council),Mackay - Isaac - Whitsunday,Australia/Brisbane
229,Anduramba,,QLD,Queensland,4355,Rural locality,-27.13461,152.08588,443,77,29432,283.607,Toowoomba (Regional Council),Darling Downs - Maranoa,Australia/Brisbane
230,Anembo,,NSW,New South Wales,2621,Rural locality,-35.80545,149.42833,1076,66,35360,171.82,Snowy Monaro Regional (Area),Capital Region,Australia/Sydney
231,Angas Plains,,SA,South Australia,5255,Rural locality,-35.3349,138.96945,21,65,29536,41.39,Alexandrina (District Council),South Australia - South East,Australia/Adelaide
232,Angaston,,SA,South Australia,5353,Urban locality,-34.50115,139.04683,354,2095,33592,79.592,Barossa (District Council),Barossa - Yorke - Mid North,Australia/Adelaide
233,Angas Valley,,SA,South Australia,5238,Rural locality,-34.75513,139.30616,79,47,26624,50.234,Mid Murray (District Council),South Australia - South East,Australia/Adelaide
234,Angelo River,,WA,Western Australia,6642,Rural locality,-24.0786,118.01042,356,9,32760,13971.803,Meekatharra (Shire),Western Australia - Outback (South),Australia/Perth
235,Angledale,,NSW,New South Wales,2550,Rural locality,-36.63575,149.85715,51,154,31668,26.813,Bega Valley (Area),Capital Region,Australia/Sydney
236,Angledool,,NSW,New South Wales,2834,Rural locality,-29.11312,147.90256,151,58,21164,689.501,Brewarrina (Area),Far West and Orana,Australia/Sydney
237,Angle Park,Adelaide,SA,South Australia,5010,Suburb,-34.85913,138.56067,11,1563,22620,1.07,Port Adelaide Enfield (City),Adelaide - West,Australia/Adelaide
238,Anglers Reach,,NSW,New South Wales,2629,Rural locality,-35.9992,148.66485,1189,94,24648,11.127,Snowy Monaro Regional (Area),Capital Region,Australia/Sydney
239,Anglers Rest,,VIC,Victoria,3898,Rural locality,-37.01433,147.45141,845,21,7800,86.504,East Gippsland (Shire),Latrobe - Gippsland,Australia/Melbourne
240,Anglesea,,VIC,Victoria,3230,Urban locality,-38.40513,144.18927,10,2545,36972,96.76,Surf Coast (Shire),Geelong,Australia/Melbourne
241,Angle Vale,,SA,South Australia,5117,Urban locality,-34.64077,138.6466,37,2923,36816,14.054,Playford (City),Adelaide - North,Australia/Adelaide
242,Angourie,,NSW,New South Wales,2464,Urban locality,-29.48101,153.35996,35,222,36036,3.536,Clarence Valley (Area),Coffs Harbour - Grafton,Australia/Sydney
243,Angurugu,,NT,Northern Territory,822,Urban locality,-13.98119,136.46121,16,855,17316,1.513,East Arnhem (Regional Council),Northern Territory - Outback,Australia/Darwin
244,Anindilyakwa,,NT,Northern Territory,822,Rural locality,-13.97005,136.59334,122,117,34320,2592.737,East Arnhem (Regional Council),Northern Territory - Outback,Australia/Darwin
245,Anketell,,WA,Western Australia,6167,Rural locality,-32.2187,115.86538,22,248,33332,6.822,Kwinana (City),Perth - South West,Australia/Perth
246,Anmatjere,,NT,Northern Territory,872,Rural locality,-22.00828,133.46465,529,477,15340,54462.874,Central Desert (Regional Council),Northern Territory - Outback,Australia/Darwin
247,Anna Bay,,NSW,New South Wales,2316,Urban locality,-32.77692,152.08327,7,3846,25844,22.25,Port Stephens (Area),Hunter Valley exc Newcastle,Australia/Sydney
248,Annadale,,SA,South Australia,5356,Rural locality,-34.38932,139.38842,73,44,19916,46.771,Mid Murray (District Council),South Australia - South East,Australia/Adelaide
249,Annandale,Sydney,NSW,New South Wales,2038,Suburb,-33.88144,151.17068,32,9451,60424,1.493,Inner West (Area),Sydney - Inner West,Australia/Sydney
250,Annandale,Townsville,QLD,Queensland,4814,Suburb,-19.31109,146.78764,10,8574,39676,6.84,Townsville (City),Townsville,Australia/Brisbane
251,Annangrove,,NSW,New South Wales,2156,Rural locality,-33.65777,150.94351,82,1397,39780,10.246,The Hills Shire (Area),Sydney - Baulkham Hills and Hawkesbury,Australia/Sydney
252,Annerley,Brisbane,QLD,Queensland,4103,Suburb,-27.51161,153.03183,45,11336,39416,2.876,Brisbane (City),Brisbane - South,Australia/Brisbane
253,Anniebrook,,WA,Western Australia,6280,Rural locality,-33.66919,115.16909,15,54,26936,13.263,Busselton (City),Bunbury,Australia/Perth
254,Annuello,,VIC,Victoria,3549,Rural locality,-34.8477,142.83012,61,25,29900,320.811,Swan Hill (Rural City),North West,Australia/Melbourne
255,Ansons Bay,,TAS,Tasmania,7264,Rural locality,-41.03789,148.26834,12,31,20228,229.351,Break O'Day (Municipality),Launceston and North East,Australia/Hobart
256,Anstead,Brisbane,QLD,Queensland,4070,Suburb,-27.54559,152.87227,20,1509,47268,13.852,Brisbane (City),Brisbane - West,Australia/Brisbane
257,Antechamber Bay,,SA,South Australia,5222,Rural locality,-35.80174,138.07272,10,8,28548,14.936,Kangaroo Island (District Council),South Australia - South East,Australia/Adelaide
258,Anthony,,QLD,Queensland,4310,Rural locality,-27.87818,152.68408,97,111,31824,13.834,Scenic Rim (Regional Council),Ipswich,Australia/Brisbane
259,Antigua,,QLD,Queensland,4650,Rural locality,-25.63821,152.60253,40,127,24180,17.17,Fraser Coast (Regional Council),Wide Bay,Australia/Brisbane
260,Antill Ponds,,TAS,Tasmania,7120,Rural locality,-42.20401,147.40135,293,11,46800,40.482,Southern Midlands (Municipality),South East,Australia/Hobart
261,Antonymyre,,WA,Western Australia,6714,Rural locality,-20.66316,117.09337,8,0,0,25.774,Karratha (City),Western Australia - Outback (North),Australia/Perth
262,Antwerp,,VIC,Victoria,3414,Rural locality,-36.29842,142.02456,100,63,20124,132.788,Hindmarsh (Shire),North West,Australia/Melbourne
263,Anula,Darwin,NT,Northern Territory,812,Suburb,-12.39191,130.89015,37,2369,53144,1.318,Darwin (City),Darwin,Australia/Darwin
264,Apamurra,,SA,South Australia,5237,Rural locality,-34.85524,139.19677,159,8,22100,3.742,Mid Murray (District Council),South Australia - South East,Australia/Adelaide
265,Apoinga,,SA,South Australia,5413,Rural locality,-33.92808,138.93758,468,32,31824,51.625,Goyder (District Council),Barossa - Yorke - Mid North,Australia/Adelaide
266,Apollo Bay,,TAS,Tasmania,7150,Rural locality,-43.15912,147.29609,29,23,39416,2.295,Kingborough (Municipality),South East,Australia/Hobart
267,Apollo Bay,,VIC,Victoria,3233,Urban locality,-38.74843,143.67043,1,1598,29432,86.915,Colac-Otway (Shire),Warrnambool and South West,Australia/Melbourne
268,Appila,,SA,South Australia,5480,Rural locality,-33.05054,138.42808,371,83,23400,120.155,Mount Remarkable (District Council),Barossa - Yorke - Mid North,Australia/Adelaide
269,Appin,,NSW,New South Wales,2560,Urban locality,-34.20089,150.78748,242,2633,42744,102.055,Wollondilly (Area),Sydney - Outer South West,Australia/Sydney
270,Appin,,VIC,Victoria,3579,Rural locality,-35.88565,143.87805,82,11,22100,37.808,Gannawarra (Shire),North West,Australia/Melbourne
271,Appin South,,VIC,Victoria,3579,Rural locality,-35.94096,143.85991,86,29,19448,51.533,Loddon (Shire),Bendigo,Australia/Melbourne
272,Appleby,,NSW,New South Wales,2340,Rural locality,-30.96493,150.82515,365,37,42328,18.152,Tamworth Regional (Area),New England and North West,Australia/Sydney
273,Applecross,Perth,WA,Western Australia,6153,Suburb,-32.0194,115.83322,10,6887,49608,3.195,Melville (City),Perth - South West,Australia/Perth
274,Applethorpe,,QLD,Queensland,4378,Rural locality,-28.61395,151.95549,880,511,25532,46.81,Southern Downs (Regional Council),Darling Downs - Maranoa,Australia/Brisbane
275,Apple Tree Creek,,QLD,Queensland,4660,Urban locality,-25.21521,152.234,80,639,23036,23.879,Bundaberg (Regional Council),Wide Bay,Australia/Brisbane
276,Appletree Flat,,NSW,New South Wales,2330,Rural locality,-32.51231,150.86485,111,16,31824,28.532,Singleton (Area),Hunter Valley exc Newcastle,Australia/Sydney
277,Apple Tree Flat,,NSW,New South Wales,2850,Rural locality,-32.68522,149.70505,490,41,34528,17.022,Mid-Western Regional (Area),Central West,Australia/Sydney
278,Apslawn,,TAS,Tasmania,7190,Rural locality,-41.95662,148.16487,43,18,31824,76.211,Glamorgan/Spring Bay (Municipality),South East,Australia/Hobart
279,Apsley,,NSW,New South Wales,2820,Rural locality,-32.59836,148.96393,337,107,21580,28.23,Dubbo Regional (Area),Far West and Orana,Australia/Sydney
280,Apsley,,TAS,Tasmania,7030,Rural locality,-42.41812,147.13831,297,35,35724,68.364,Central Highlands (Municipality),South East,Australia/Hobart
281,Apsley,,VIC,Victoria,3319,Rural locality,-36.96756,141.08075,108,277,30004,332.117,West Wimmera (Shire),North West,Australia/Melbourne
282,Arable,,NSW,New South Wales,2630,Rural locality,-36.36737,148.94553,910,12,48516,116.327,Snowy Monaro Regional (Area),Capital Region,Australia/Sydney
283,Arakoon,South West Rocks,NSW,New South Wales,2431,Suburb,-30.88823,153.06696,12,420,29328,24.794,Kempsey (Area),Mid North Coast,Australia/Sydney
284,Araluen,,NSW,New South Wales,2622,Rural locality,-35.64693,149.81215,155,168,22776,121.274,Queanbeyan-Palerang Regional (Area),Capital Region,Australia/Sydney
285,Araluen,Alice Springs,NT,Northern Territory,870,Suburb,-23.70239,133.84954,585,2706,57044,4.147,Alice Springs (Town),Northern Territory - Outback,Australia/Darwin
286,Araluen,,QLD,Queensland,4570,Rural locality,-26.15949,152.66767,104,614,28340,6.568,Gympie (Regional Council),Wide Bay,Australia/Brisbane
287,Aramac,,QLD,Queensland,4726,Urban locality,-22.97216,145.24543,229,299,31616,39.49,Barcaldine (Regional Council),Queensland - Outback,Australia/Brisbane
288,Aramara,,QLD,Queensland,4620,Rural locality,-25.61128,152.32592,129,57,23088,74.827,Fraser Coast (Regional Council),Wide Bay,Australia/Brisbane
289,Arana Hills,Brisbane,QLD,Queensland,4054,Suburb,-27.39752,152.95954,46,6810,42900,3.654,Moreton Bay (Regional Council),Moreton Bay - South,Australia/Brisbane
290,Aranbanga,,QLD,Queensland,4625,Rural locality,-25.80681,151.67007,314,10,13000,221.391,North Burnett (Regional Council),Wide Bay,Australia/Brisbane
291,Aranda,Canberra,ACT,Australian Capital Territory,2614,Suburb,-35.25796,149.07565,632,2393,62140,1.563,Unincorporated,Australian Capital Territory,Australia/Sydney
292,Ararat,,VIC,Victoria,3377,Urban locality,-37.2843,142.92823,336,8297,29172,161.179,Ararat (Rural City),North West,Australia/Melbourne
293,Aratula,,NSW,New South Wales,2714,Rural locality,-35.7862,145.29243,108,9,0,163.381,Murray River (Area),Murray,Australia/Sydney
294,Aratula,,QLD,Queensland,4309,Urban locality,-27.98146,152.54862,112,532,28496,26.247,Scenic Rim (Regional Council),Ipswich,Australia/Brisbane
295,Arawata,,VIC,Victoria,3951,Rural locality,-38.39491,145.88822,280,79,29120,22.539,South Gippsland (Shire),Latrobe - Gippsland,Australia/Melbourne
296,Arbouin,,QLD,Queensland,4892,Rural locality,-17.06157,143.99539,242,0,0,1062.032,Mareeba (Shire),Queensland - Outback,Australia/Brisbane
297,Arbuckle,,VIC,Victoria,3858,Rural locality,-37.36904,146.82917,1306,0,0,150.506,Wellington (Shire),Latrobe - Gippsland,Australia/Melbourne
298,Arcadia,,NSW,New South Wales,2159,Rural locality,-33.6231,151.05273,216,1385,40144,22.409,Hornsby (Area),Sydney - Baulkham Hills and Hawkesbury,Australia/Sydney
299,Arcadia,,QLD,Queensland,4819,Urban locality,-19.15104,146.86423,10,248,25272,5.851,Townsville (City),Townsville,Australia/Brisbane
300,Arcadia,,VIC,Victoria,3631,Rural locality,-36.5416,145.36256,124,217,36868,76.049,Greater Shepparton (City),Shepparton,Australia/Melbourne
301,Arcadia South,,VIC,Victoria,3631,Rural locality,-36.59378,145.38112,129,75,28600,69.507,Strathbogie (Shire),Hume,Australia/Melbourne
302,Arcadia Vale,Newcastle,NSW,New South Wales,2283,Suburb,-33.06034,151.57582,34,1378,31824,1.346,Lake Macquarie (City),Newcastle and Lake Macquarie,Australia/Sydney
303,Arcadia Valley,,QLD,Queensland,4702,Rural locality,-25.02985,148.81407,537,102,48724,2115.804,Central Highlands (Regional Council),Central Queensland,Australia/Brisbane
304,Archdale,,VIC,Victoria,3475,Rural locality,-36.8309,143.5023,204,21,18928,41.464,Central Goldfields (Shire),Ballarat,Australia/Melbourne
305,Archdale Junction,,VIC,Victoria,3475,Rural locality,-36.88492,143.51731,204,6,29900,38.099,Central Goldfields (Shire),Ballarat,Australia/Melbourne
306,Archer,,NT,Northern Territory,830,Rural locality,-12.51182,130.97059,13,0,0,11.325,Palmerston (City),Darwin,Australia/Darwin
307,Archerfield,Brisbane,QLD,Queensland,4108,Suburb,-27.56839,153.02417,15,544,27664,4.623,Brisbane (City),Brisbane - South,Australia/Brisbane
308,Archer River,,QLD,Queensland,4892,Rural locality,-13.34792,142.52661,82,22,55224,9381.431,Cook (Shire),Queensland - Outback,Australia/Brisbane
309,Archerton,,VIC,Victoria,3723,Rural locality,-36.89447,146.25651,945,17,33748,78.971,Benalla (Rural City),Hume,Australia/Melbourne
310,Archies Creek,,VIC,Victoria,3995,Rural locality,-38.54829,145.56373,25,22,22100,0.069,Bass Coast (Shire),Latrobe - Gippsland,Australia/Melbourne
311,Arcoona,,SA,South Australia,5720,Rural locality,-31.20422,137.19217,94,10,84500,6823.446,Unincorporated,South Australia - Outback,Australia/Adelaide
312,Arcturus,,QLD,Queensland,4722,Rural locality,-23.98933,148.33948,197,75,46124,1206.343,Central Highlands (Regional Council),Central Queensland,Australia/Brisbane
313,Ardath,,WA,Western Australia,6419,Rural locality,-32.03476,118.10277,280,57,31824,358.311,Bruce Rock (Shire),Western Australia - Wheat Belt,Australia/Perth
314,Ardeer,Melbourne,VIC,Victoria,3022,Suburb,-37.77596,144.80104,46,3103,26416,2.131,Brimbank (City),Melbourne - West,Australia/Melbourne
315,Ardglen,,NSW,New South Wales,2338,Rural locality,-31.73451,150.78559,627,59,25220,72.273,Liverpool Plains (Area),New England and North West,Australia/Sydney
316,Arding,,NSW,New South Wales,2358,Rural locality,-30.58855,151.55675,1053,208,30628,54.771,Uralla (Area),New England and North West,Australia/Sydney
317,Ardlethan,,NSW,New South Wales,2665,Urban locality,-34.35736,146.9034,203,519,21580,538.873,Coolamon (Area),Riverina,Australia/Sydney
318,Ardmona,,VIC,Victoria,3629,Rural locality,-36.37854,145.29537,110,487,35152,39.211,Greater Shepparton (City),Shepparton,Australia/Melbourne
319,Ardross,Perth,WA,Western Australia,6153,Suburb,-32.02488,115.84141,19,4232,41808,2.259,Melville (City),Perth - South West,Australia/Perth
320,Ardrossan,,SA,South Australia,5571,Urban locality,-34.42295,137.91681,33,1167,24388,24.297,Yorke Peninsula (District Council),Barossa - Yorke - Mid North,Australia/Adelaide
321,Areegra,,VIC,Victoria,3480,Rural locality,-36.23825,142.68032,112,35,36400,114.865,Yarriambiack (Shire),North West,Australia/Melbourne
322,Areyonga,,NT,Northern Territory,872,Urban locality,-24.07205,132.26771,675,195,12324,6.981,MacDonnell (Regional Council),Northern Territory - Outback,Australia/Darwin
323,Argalong,,NSW,New South Wales,2720,Rural locality,-35.3155,148.45387,770,29,39208,132.303,Snowy Valleys (Area),Riverina,Australia/Sydney
324,Argenton,Newcastle,NSW,New South Wales,2284,Suburb,-32.93481,151.63088,8,1351,25480,1.523,Lake Macquarie (City),Newcastle and Lake Macquarie,Australia/Sydney
325,Argents Hill,,NSW,New South Wales,2449,Rural locality,-30.62195,152.74633,92,221,22516,76.255,Nambucca Valley (Area),Mid North Coast,Australia/Sydney
326,Argoon,,NSW,New South Wales,2707,Rural locality,-34.85828,145.67415,113,13,18200,247.125,Murrumbidgee (Area),Riverina,Australia/Sydney
327,Argoon,,QLD,Queensland,4702,Rural locality,-24.25515,150.43348,164,151,39052,164.775,Banana (Shire),Central Queensland,Australia/Brisbane
328,Argyle,,VIC,Victoria,3523,Rural locality,-36.96763,144.71685,307,215,23608,19.739,Greater Bendigo (City),Bendigo,Australia/Melbourne
329,Argyle,,WA,Western Australia,6239,Rural locality,-33.54822,115.76634,61,545,34996,13.793,Donnybrook-Balingup (Shire),Bunbury,Australia/Perth
330,Argyll,,QLD,Queensland,4721,Rural locality,-23.27732,147.5625,351,31,31148,1240.427,Central Highlands (Regional Council),Central Queensland,Australia/Brisbane
331,Ariah Park,,NSW,New South Wales,2665,Urban locality,-34.34811,147.22122,253,493,27300,489.991,Temora (Area),Riverina,Australia/Sydney
332,Arkaroola Village,,SA,South Australia,5732,Rural locality,-30.1337,139.64033,64,54,82316,6058.808,Unincorporated,South Australia - Outback,Australia/Adelaide
333,Arkell,,NSW,New South Wales,2795,Rural locality,-33.72778,149.38295,944,43,36140,66.86,Bathurst Regional (Area),Central West,Australia/Sydney
334,Arkstone,,NSW,New South Wales,2795,Rural locality,-34.04242,149.64425,957,22,46748,79.371,Oberon (Area),Central West,Australia/Sydney
335,Armadale,Melbourne,VIC,Victoria,3143,Suburb,-37.85532,145.01914,48,9054,55068,2.155,Stonnington (City),Melbourne - Inner,Australia/Melbourne
336,Armadale,Perth,WA,Western Australia,6112,Suburb,-32.15239,116.00827,55,13619,26364,8.371,Armadale (City),Perth - South East,Australia/Perth
337,Armagh,,SA,South Australia,5453,Rural locality,-33.83679,138.57943,401,362,38376,16.19,Clare and Gilbert Valleys (District Council),Barossa - Yorke - Mid North,Australia/Adelaide
338,Armatree,,NSW,New South Wales,2828,Rural locality,-31.44798,148.46345,240,153,38740,484.98,Gilgandra (Area),Far West and Orana,Australia/Sydney
339,Armidale,,NSW,New South Wales,2350,Major urban locality,-30.51417,151.66899,979,23352,29328,274.6,Armidale Regional (Area),New England and North West,Australia/Sydney
340,Armstrong,,VIC,Victoria,3377,Rural locality,-37.21003,142.88499,306,88,26468,19.185,Ararat (Rural City),North West,Australia/Melbourne
341,Armstrong Beach,,QLD,Queensland,4737,Urban locality,-21.45491,149.28956,10,863,33176,22.236,Mackay (Regional Council),Mackay - Isaac - Whitsunday,Australia/Brisbane
342,Armstrong Creek,,QLD,Queensland,4520,Rural locality,-27.22574,152.82965,73,325,39156,34.305,Moreton Bay (Regional Council),Moreton Bay - South,Australia/Brisbane
343,Armstrong Creek,Geelong,VIC,Victoria,3217,Suburb,-38.23465,144.3694,12,4247,45760,19.527,Greater Geelong (City),Geelong,Australia/Melbourne
344,Arncliffe,Sydney,NSW,New South Wales,2205,Suburb,-33.93632,151.14469,26,10590,32708,2.943,Bayside (Area),Sydney - Inner South West,Australia/Sydney
345,Arndell Park,Sydney,NSW,New South Wales,2148,Suburb,-33.78727,150.87196,45,27,46800,2.001,Blacktown (City),Sydney - Blacktown,Australia/Sydney
346,Arno Bay,,SA,South Australia,5603,Urban locality,-33.9119,136.56835,2,331,28496,233.634,Cleve (District Council),South Australia - Outback,Australia/Adelaide
347,Arnold,,NT,Northern Territory,852,Rural locality,-15.80974,134.14711,145,27,46800,18238.475,Roper Gulf (Regional Council),Northern Territory - Outback,Australia/Darwin
348,Arnold,,VIC,Victoria,3551,Rural locality,-36.69082,143.86837,163,47,24856,49.49,Loddon (Shire),Bendigo,Australia/Melbourne
349,Arnold West,,VIC,Victoria,3551,Rural locality,-36.66177,143.76205,199,22,20228,34.549,Loddon (Shire),Bendigo,Australia/Melbourne
350,Aroona,Sunshine Coast,QLD,Queensland,4551,Suburb,-26.77538,153.11317,16,3287,32864,1.892,Sunshine Coast (Regional Council),Sunshine Coast,Australia/Brisbane
351,Arrawarra,,NSW,New South Wales,2456,Urban locality,-30.0596,153.18789,15,523,21840,2.818,Coffs Harbour (City),Coffs Harbour - Grafton,Australia/Sydney
